property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,signature global park,sohna road,0.9,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,0,0,1,144
flat,m3m woodshire,sector 107,1.15,7497.0,2,2,3,0.0,Relatively Old,1281.0,1,0,0,0,0,1,29
flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3,4,3,6.0,Relatively Old,2150.0,0,1,0,0,0,1,68
flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively Old,2000.0,0,0,0,0,0,1,126
flat,sanskriti apartments,sector 43,2.5,13514.0,3,2,3,5.0,Old property,1674.0,1,0,0,0,0,1,0
house,independent,sector 38,3.9,21242.0,6,6,3+,3.0,Moderate Old,1836.0,1,1,0,1,0,1,32
house,independent,sector 3,0.55,6707.0,2,2,1,2.0,Moderate Old,810.0,0,0,0,0,0,1,0
flat,bptp terra,sector 37d,1.67,7622.0,4,4,3,11.0,Relatively Old,2091.0,0,0,0,0,0,2,149
flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,9.0,Relatively Old,1050.0,1,0,0,0,0,1,67
flat,m3m golfestate,sector 65,5.5,16960.0,3,4,3,3.0,Relatively Old,2803.0,0,1,0,0,0,1,49
flat,dlf regal gardens,sector 90,2.05,8999.0,4,4,3+,5.0,Relatively Old,2005.0,0,0,0,0,0,2,49
house,independent,sector 51,2.25,2778.0,6,3,3+,3.0,Relatively Old,900.0,0,0,0,0,0,1,54
house,unitech uniworld resorts,sector 33,11.0,26667.0,5,6,3,3.0,New property,4125.0,1,1,0,0,0,1,58
flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2,2,3,0.0,Relatively Old,1238.0,0,0,0,0,1,1,49
flat,mapsko mount ville,sector 79,1.65,9091.0,3,3,0,12.0,Relatively Old,1815.0,0,0,0,0,0,1,0
flat,vatika gurgaon,sector 83,0.98,8167.0,2,2,3,5.0,Relatively Old,1300.0,0,0,0,0,0,2,96
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old property,1956.0,0,0,0,0,0,1,0
flat,dlf the skycourt,sector 86,1.5,7776.0,3,3,1,15.0,Relatively Old,1550.0,0,0,0,0,0,1,159
house,satya the hermitage,sector 103,4.35,13501.0,4,4,3+,2.0,Relatively Old,3222.0,1,1,1,1,0,1,138
flat,tulip violet,sector 69,1.3,8286.0,3,3,1,12.0,Relatively Old,1419.0,0,0,0,1,0,1,86
flat,chd avenue,sector 71,1.1,6104.0,3,4,3,3.0,Moderate Old,1631.0,0,1,0,0,0,1,26
flat,dlf the primus,sector 82a,1.59,10338.0,3,3,3+,5.0,Relatively Old,1668.0,0,0,0,0,1,0,167
flat,godrej icon,sector 88a,1.65,9041.0,3,3,3,12.0,New property,1652.0,0,0,0,0,0,1,60
flat,dlf the ultima,sector 81,2.28,10842.0,3,3,3+,14.0,Relatively Old,1750.0,0,1,0,0,0,0,49
flat,dlf new town heights,sector 90,1.6,6768.0,4,4,3+,10.0,Relatively Old,2139.0,0,1,0,1,0,1,88
flat,dlf regal gardens,sector 90,1.21,6926.0,3,3,3+,29.0,Relatively Old,1581.0,0,0,0,0,1,1,95
flat,dlf regal gardens,sector 90,1.25,10417.0,3,3,3,18.0,Moderate Old,1437.0,0,1,0,0,0,1,100
flat,bestech park view residency,sector 2,0.98,6931.0,2,2,3,11.0,Moderate Old,1281.0,0,0,0,0,0,1,83
flat,experion the heartsong,sector 108,0.93,6078.0,2,3,3,10.0,Relatively Old,1161.0,0,0,0,0,0,1,81
flat,smart world orchard,sector 61,2.24,14461.0,3,3,2,3.0,New property,1402.0,0,0,0,0,1,1,61
flat,kiran residency,sector 56,1.55,7750.0,3,3,3,5.0,Old property,1810.0,0,1,0,0,0,2,52
flat,supertech araville,sector 79,0.78,6023.0,2,2,3+,17.0,Relatively Old,1172.0,0,0,0,0,0,1,24
flat,la vida by tata housing,sector 113,1.93,12223.0,3,3,2,8.0,Under Construction,1429.0,0,0,0,0,0,1,71
flat,ats triumph,sector 104,2.6,8814.0,4,4,3+,16.0,Relatively Old,3064.0,0,1,0,0,0,2,150
house,experion windchants,sector 112,7.46,10260.0,4,4,3+,2.0,Relatively Old,6350.0,0,1,0,1,0,2,62
flat,ambience creacions,sector 22,4.8,19200.0,4,6,3+,10.0,New property,2778.0,0,1,0,1,0,0,49
flat,experion the heartsong,sector 108,0.97,9238.0,2,2,3,10.0,Relatively Old,1167.0,0,1,0,0,0,1,165
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,12.0,Relatively Old,828.0,0,0,0,0,0,1,100
flat,dlf garden city floors,sector 92,1.7,8586.0,3,4,2,1.0,Under Construction,1475.0,0,0,0,0,0,1,63
house,independent,sector 26,6.75,27778.0,3,3,3,2.0,Moderate Old,2430.0,0,0,0,0,0,1,27
flat,dlf new town heights,sector 90,1.2,6218.0,3,3,3+,8.0,Moderate Old,2144.0,0,1,0,1,0,1,59
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,5,3,6.0,Relatively Old,1527.0,0,1,0,1,0,1,167
house,independent,sector 13,1.5,11538.0,2,7,3,4.0,Moderate Old,1300.0,0,0,0,0,0,1,0
flat,antriksh heights,sector 84,0.69,5111.0,2,2,3+,8.0,Relatively Old,1222.0,1,0,0,0,0,1,59
flat,ss,sector 85,1.2,7151.0,2,2,3,15.0,Relatively Old,1660.0,0,0,0,0,0,1,49
flat,apartment,sector 92,0.75,4688.0,3,4,3,2.0,Moderate Old,1778.0,1,0,0,0,0,1,113
flat,vatika city,sector 49,1.69,8622.0,3,3,3,3.0,Moderate Old,2178.0,0,0,0,1,0,1,136
flat,ireo victory valley,sector 67,4.5,14098.0,4,4,3+,0.0,Relatively Old,3160.0,0,1,0,1,0,2,42
house,unitech uniworld resorts,sector 33,8.5,17820.0,5,5,3+,3.0,New property,4770.0,1,1,1,1,0,2,145
flat,signature global solera,sector 107,0.4,6645.0,2,2,1,7.0,Relatively Old,577.0,0,0,0,0,0,2,55
flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,7.0,Moderate Old,2233.0,0,0,0,0,0,1,0
flat,residency grand,sector 52,5.0,7692.0,5,7,3+,1.0,Moderate Old,5778.0,0,1,0,1,0,1,77
flat,whiteland blissville,sector 76,1.9,11364.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,1,61
flat,spaze privy at,sector 84,1.24,6465.0,3,3,3,8.0,Relatively Old,1650.0,1,0,0,0,0,2,158
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,588.0,0,0,0,0,0,1,54
flat,rof ananda,sector 95,0.46,6319.0,2,2,2,11.0,New property,809.0,1,0,0,0,0,1,82
flat,suncity vatsal valley,gwal pahari,1.38,12212.0,2,2,2,4.0,Under Construction,1130.0,0,0,0,0,0,1,133
flat,conscient heritage max,sector 102,1.82,9372.0,3,4,3+,15.0,Moderate Old,1757.0,0,1,0,0,0,1,125
flat,tulsiani easy in homes,sohna road,0.4,6723.0,2,2,3,12.0,New property,661.0,0,0,0,0,0,1,36
flat,hsiidc sidco aravali,manesar,0.86,3323.0,3,3,3+,3.0,Moderate Old,1900.0,0,1,0,0,0,1,81
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,3,2,6.0,Relatively Old,2167.0,1,0,0,0,0,1,72
flat,conscient elevate,sector 59,3.78,16499.0,3,3,3,3.0,Under Construction,2550.0,0,0,0,0,0,1,31
flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,7.0,Relatively Old,1315.0,0,1,0,0,0,1,128
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,8.0,Relatively Old,1466.0,0,0,1,0,0,1,119
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2,2,0,1.0,New property,758.0,0,0,0,0,0,1,0
flat,pyramid urban homes 2,sector 86,0.42,8485.0,2,2,1,2.0,New property,557.0,1,1,0,1,1,1,84
