property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,m3m merlin,sector 67,2.8,13679.0,2047.0,Super Built up area 2047(190.17 sq.m.)Carpet area: 1880 sq.ft. (174.66 sq.m.),3,3,3,5.0,North-East,Moderate Old,2047.0,,1880.0,0,1,0,0,0,0,26,682.3333333333334
house,housing board colony,sector 28,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,Old property,,1800.0,,0,0,0,1,1,2,22,450.0
flat,puri diplomatic greens,sector 111,2.58,11727.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,4,2,10.0,North,Moderate Old,2200.0,,,0,1,0,0,0,1,86,733.3333333333334
flat,la vida by tata housing,sector 113,3.0,14286.0,2100.0,Super Built up area 2691(250 sq.m.)Built Up area: 2460 sq.ft. (228.54 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,3.0,East,Relatively Old,2691.0,2460.0,2100.0,0,1,0,0,0,1,167,700.0
house,ganpati heights apartment,sector 13,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),3,6,2,3.0,South-East,Old property,,115.0,,0,0,0,0,1,1,7,345.0
flat,smart world orchard,sector 61,2.1,13752.0,1527.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,2,3,3.0,South,Under Construction,1549.0,,1500.0,0,0,0,0,0,1,146,509.0
flat,tata gurgaon gateway,sector 113,2.45,10788.0,2271.0,Super Built up area 2225(206.71 sq.m.),3,3,3,8.0,North,Relatively Old,2225.0,,,0,0,0,0,0,1,110,757.0
flat,tulip violet,sector 69,1.38,8973.0,1538.0,Carpet area: 1538 (142.88 sq.m.),3,3,1,12.0,West,Relatively Old,,,1538.0,0,0,0,0,0,1,174,512.6666666666666
flat,smart world gems,sector 89,1.71,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3,2,0,3.0,,Undefined,,1423.0,,0,0,0,0,0,1,45,475.0
flat,ireo the corridors,sector 67a,1.85,9531.0,1941.0,Built Up area: 1941 (180.32 sq.m.),3,4,3,4.0,East,New property,,1941.0,,1,0,1,0,0,2,150,647.0
flat,signature global the millennia,sector 37d,0.6,9231.0,650.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596.12 sq.ft. (55.38 sq.m.),2,2,3,7.0,,New property,650.0,,596.12,0,0,0,0,0,1,35,325.0
flat,vatika the seven lamps,sector 82,0.81,6193.0,1308.0,Super Built up area 1300(120.77 sq.m.),2,2,2,15.0,West,Relatively Old,1300.0,,,0,0,0,0,0,2,117,654.0
flat,tulip monsella,sector 53,5.6,19364.0,2892.0,Super Built up area 2892(268.68 sq.m.),3,3,3+,1.0,,Under Construction,2892.0,,,0,0,0,0,0,1,42,964.0
flat,m3m skywalk,sector 74,1.5,12500.0,1200.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,17.0,North-East,Relatively Old,1400.0,1300.0,1200.0,0,0,1,0,0,1,174,600.0
flat,bptp terra,sector 37d,1.45,8007.0,1811.0,Super Built up area 1811(168.25 sq.m.),3,3,3,9.0,North-East,Relatively Old,1811.0,,,0,0,0,0,0,1,107,603.6666666666666
flat,experion the heartsong,sector 108,1.65,8238.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3,4,3,3.0,North-West,Moderate Old,2003.0,1771.32,1302.01,1,0,0,0,0,2,75,667.6666666666666
flat,huda housing board society,sector 52,0.45,9740.0,462.0,Carpet area: 461.77 (42.9 sq.m.),1,1,0,0.0,North-West,Moderate Old,,,461.77131,0,0,0,1,0,2,43,462.0
